stock_id,market_intel_status,market_intel_source,market_intel_warning,market_close,market_volume,volume_change_ratio,market_pe_ratio,market_pb_ratio,market_dividend_yield,market_revenue_growth_yoy,market_eps_growth_yoy,latest_news_titles,matched_news_keywords,news_sentiment_score,market_fundamental_score,market_valuation_score,market_momentum_score,market_chip_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,final_market_score,confidence_score,market_risk_score,risk_flags,final_comment,data_source_warning,system_comment
3024,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,17.4,,,197.78,1.63,1.24,-70.82155595935123,,無重大事件資料 原始技術總分 80.24；月營收年增率低於 -20%；PE 過高扣分；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,36.0,92.36,50.0,40.0,50.0,75.0,78.0,59.92,90.0,40.08,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 偏高；月營收 YoY 明顯衰退,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
3149,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,57.8,,,,5.38,,-19.158780830768062,,無重大事件資料 原始技術總分 80.22；累計營收 YoY 大於 10%；PB 過高扣分；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,38.0,92.27,50.0,50.0,50.0,92.0,78.0,60.95,90.0,39.05,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱；PE 為空或負值；PB 偏高；EPS 為負；PB 過高,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
6719,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,211.0,,,30.64,1.62,2.09,-12.135337690431896,,無重大事件資料 原始技術總分 80.11；基本面資料中性；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,56.0,91.85,50.0,40.0,50.0,92.0,78.0,62.67,90.0,37.33,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
1582,WARNING,mixed,基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,117.0,,,38.73,2.04,2.82,-1.132016430717696,,無重大事件資料 原始技術總分 79.97；基本面資料中性；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,50.0,93.68,50.0,40.0,35.0,92.0,78.0,60.94,90.0,39.06,相對強勢；產業資料不足；注意股；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
3305,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,138.0,,,38.59,3.18,1.68,60.16717903418358,,無重大事件資料 原始技術總分 79.87；月營收年增率大於 20%；累計營收 YoY 大於 10%；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,50.0,90.87,50.0,50.0,50.0,92.0,78.0,65.47,90.0,34.53,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
4916,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,81.8,,,13.26,2.52,0.67,50.22139699381079,,無重大事件資料 原始技術總分 79.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,62.0,88.0,50.0,50.0,50.0,92.0,78.0,66.1,90.0,33.9,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
2233,WARNING,mixed,基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,340.0,,,51.75,4.89,1.23,8.315225106192468,,無重大事件資料 原始技術總分 79.18；月營收 YoY 正成長；PE 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱；高風險事件或處置股，禁止新增進場 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,處置股,-25.0,62.0,30.0,86.91,50.0,40.0,20.0,92.0,78.0,59.06,90.0,45.94,相對強勢；產業資料不足；處置股；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 偏高；禁止新增進場；事件風險偏高,有處置股或重大負面事件，預設禁止新增進場,,有處置股或重大負面事件，預設禁止新增進場
3033,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,48.8,,,18.52,2.21,4.27,15.180728829047814,,無重大事件資料 原始技術總分 78.88；月營收 YoY 正成長；累計營收 YoY 大於 10%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,67.0,85.73,50.0,50.0,50.0,92.0,78.0,66.15,90.0,33.85,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
7730,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,218.5,,,103.11,7.56,0.75,-25.7616632495234,,無重大事件資料 原始技術總分 78.88；月營收年增率低於 -20%；PE 過高扣分；PB 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,18.0,94.11,50.0,40.0,50.0,50.0,78.0,57.22,90.0,42.78,相對強勢；產業資料不足；融資連增但股價不漲；流動性偏低；缺少產業分類，使用全市場相對強弱；PE 偏高；PB 偏高；月營收 YoY 明顯衰退；PB 過高,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
00943,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數,19.66,,,,,,,,無重大事件資料 原始技術總分 78.81；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,80.04,50.0,50.0,50.0,50.0,78.0,57.41,50.0,42.59,基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；流動性偏低；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
